class_index,cod_id,formula,reduced_formula,elements,space_group,space_group_number
4695,2104807,Ge3.003 Bi17.997 Te30,Bi17.997Ge3.003Te30,"Bi,Ge,Te",R-3m,166
4696,1523777,La0.614 Y1.386,La0.614Y1.386,"La,Y",P6_3/mmc,194
4697,1509980,Ba4 Ag16 S14,Ag8Ba2S7,"Ag,Ba,S",Pmmn,59
4698,1533446,Y24 P72 O216,O9P3Y,"O,P,Y",R-3,148
4699,2310674,Be4 O4,BeO,"Be,O",P4_2/mnm,136
4700,1527117,Ce2 In3 Cu3,Ce2Cu3In3,"Ce,Cu,In",P4/nmm,129
4701,1533190,Ba7.724 Si39.346 Ge6.384,Ba7.724Ge6.384Si39.346,"Ba,Ge,Si",Pm-3n,223
4702,1539374,Mn4 Sn4 Pd8,MnPd2Sn,"Mn,Pd,Sn",Fm-3m,225
4703,2310308,Eu1 Tl3,EuTl3,"Eu,Tl",Pm-3m,221
4704,4339957,U16 Co2 S34,CoS17U8,"Co,S,U",C2/m,12
4705,9015954,Sb8 W8 O56,O7SbW,"O,Sb,W",Fd-3m,227
4706,1539346,Th2 Si4 Pd4,Pd2Si2Th,"Pd,Si,Th",I4/mmm,139
4707,2106190,U30,U,U,P4_2nm,102
4708,1539551,Tb4 Ge4 Rh4,GeRhTb,"Ge,Rh,Tb",Pnma,62
4709,9012336,Co8 As8 O40,AsCoO5,"As,Co,O",P-1,2
4710,1523022,Sm8 Fe16,Fe2Sm,"Fe,Sm",Fd-3m,227
4711,4000649,Sm4 In2 Ge4,Ge2InSm2,"Ge,In,Sm",P4/mbm,127
4712,2210989,Al2 Mo12 O68,AlMo6O34,"Al,Mo,O",P2_1/c,14
4713,1004049,La3.5 Ru4 O13,La3.5O13Ru4,"La,O,Ru",Pmmm,47
4714,1525769,La2 I6 O18,I3LaO9,"I,La,O",Pmmn,59
4715,1535874,Pr10 C4 Cl18,C2Cl9Pr5,"C,Cl,Pr",P-1,2
4716,7707331,W8 I16 O12,I4O3W2,"I,O,W",C2/m,12
4717,1510004,Hf4 Ag6 F28,Ag3F14Hf2,"Ag,F,Hf",C2/m,12
4718,1525333,Dy1.03 Er0.97,Dy1.03Er0.97,"Dy,Er",P6_3/mmc,194
4719,1537387,Lu36.32 S48,Lu36.32S48,"Lu,S",Fddd,70
4720,1523065,Nb1.72 Os0.28,Nb1.72Os0.28,"Nb,Os",Im-3m,229
4721,4000618,Sr3.852 Pr4 O12,O12Pr4Sr3.852,"O,Pr,Sr",Pnma,62
4722,1523890,Tm1 Al1 Co4,AlCo4Tm,"Al,Co,Tm",P6/mmm,191
4723,1540225,V16 N1.5,N1.5V16,"N,V",P4_2/mnm,136
4724,9012392,Tl2 Cu4 S4,Cu2S2Tl,"Cu,S,Tl",I4/mmm,139
4725,4307077,Ce8 Ni8 Sb24,CeNiSb3,"Ce,Ni,Sb",Pbcm,57
4726,1526569,Na2 Li1 N1,LiNNa2,"Li,N,Na",P6/mmm,191
4727,1531187,Rb4 Sn2 O24,O12Rb2Sn,"O,Rb,Sn",P-3c1,165
4728,2222175,Rb8 Sb16 O44,O11Rb2Sb4,"O,Rb,Sb",C2/m,12
4729,1510139,Li4 Au4 F16,AuF4Li,"Au,F,Li",P2/c,13
4730,2104734,Fe36 S40,Fe9S10,"Fe,S",P2_1/c,14
4731,1536952,K8 Cu8 O8,CuKO,"Cu,K,O",I4/mmm,139
4732,5910136,Zn16 Co8 O32,CoO4Zn2,"Co,O,Zn",Fd-3m,227
4733,9013908,Mn2 W2 O8,MnO4W,"Mn,O,W",P2/c,13
4734,1535180,K2 Nd2 Te8,KNdTe4,"K,Nd,Te",P4/nbm,125
4735,1542113,Tl1 N1 O2,NO2Tl,"N,O,Tl",Pm-3m,221
4736,8103443,Zn24 B16 O48,B2O6Zn3,"B,O,Zn",Cc,9
4737,9011403,Fe6 P3,Fe2P,"Fe,P",P321,150
4738,1538220,Mn4 In4 Ni8,InMnNi2,"In,Mn,Ni",Fm-3m,225
4739,2310211,Na32 Tl16,Na2Tl,"Na,Tl",C222_1,20
4740,1510539,Ho2 Au8,Au4Ho,"Au,Ho",I4/m,87
4741,1534762,Ho3 In3 Rh3,HoInRh,"Ho,In,Rh",P-62m,189
4742,1540217,U2 Si4 Rh4,Rh2Si2U,"Rh,Si,U",I4/mmm,139
4743,1535737,Ho4 Ni4 O12,HoNiO3,"Ho,Ni,O",Pnma,62
4744,2002703,Mn18 W6 O36,Mn3O6W,"Mn,O,W",R-3,148
4745,1509177,Ce4 Cd8 Ag4,AgCd2Ce,"Ag,Cd,Ce",Fm-3m,225
4746,1509158,Sr7.596 Ca0.404 Ag8,Ag8Ca0.404Sr7.596,"Ag,Ca,Sr",Pnma,62
4747,1525086,U8 Mn8 Fe8,FeMnU,"Fe,Mn,U",Fd-3m,227
4748,1510405,Pd2 Au4 F16,Au2F8Pd,"Au,F,Pd",P2_1/c,14
4749,7221161,Ba2 Fe4 P4,BaFe2P2,"Ba,Fe,P",I4/mmm,139
4750,1530507,Mo24 Cl56 O32,Cl7Mo3O4,"Cl,Mo,O",C2/c,15
4751,8104190,Al4 Mo16 S32,AlMo4S8,"Al,Mo,S",F-43m,216
4752,9015209,Fe4 P12 O44,FeO11P3,"Fe,O,P",C2/c,15
4753,4338303,Na4 Mg2 Pb2,MgNa2Pb,"Mg,Na,Pb",P6_3/mmc,194
4754,1519037,Nb10 Ni8 P8,Nb5Ni4P4,"Nb,Ni,P",I4/m,87
4755,1522965,Ti0.38 Nb6 Sn1.62,Nb6Sn1.62Ti0.38,"Nb,Sn,Ti",Pm-3n,223
4756,1511488,Y4 B16 Mo4,B4MoY,"B,Mo,Y",Pbam,55
4757,4030661,Fe0.84 Bi25.04 O40,Bi25.04Fe0.84O40,"Bi,Fe,O",I23,197
4758,5910010,Co4 S8,CoS2,"Co,S",Pa-3,205
4759,1534684,Ca4 Fe4 F20,CaF5Fe,"Ca,F,Fe",P2_1/c,14
4760,8103656,Eu4 In16,EuIn4,"Eu,In",C2/m,12
4761,1010281,Nd2 O3,Nd2O3,"Nd,O",P321,150
4762,1522405,Ti0.36 V1.44 Fe0.2,Fe0.2Ti0.36V1.44,"Fe,Ti,V",Im-3m,229
4763,1524722,Co3.2 Re0.8,Co3.2Re0.8,"Co,Re",Fm-3m,225
4764,1008617,D41.568 Ce8 Ru14.88,Ce8H41.568Ru14.88,"Ce,H,Ru",Fd-3m,227
4765,1530130,Li8 Fe4.0 Cl16,Cl4FeLi2,"Cl,Fe,Li",Imma,74
4766,1511559,Nb64 Ni32,Nb2Ni,"Nb,Ni",Fd-3m,227
4767,9010991,Gd2,Gd,Gd,P6_3/mmc,194
4768,7120563,Dy8 H184 C128,C16DyH23,"C,Dy,H",P2_12_12,18
4769,5000119,Zr4 Si4 O16,O4SiZr,"O,Si,Zr",I4_1/amd,141
4770,7046757,Fe4 H140 C92,C23FeH35,"C,Fe,H",P2_1/c,14
4771,7221206,K4 Sb4 Se8,KSbSe2,"K,Sb,Se",P-1,2
4772,4305346,Tc8 Bi24 O64,Bi3O8Tc,"Bi,O,Tc",P2_13,198
4773,7209371,K9 Ag9 As6,Ag3As2K3,"Ag,As,K",R-3m,166
4774,1525268,Gd4 Ga4 Co4,CoGaGd,"Co,Ga,Gd",Pnma,62
4775,1532945,K8 Tb4 F24,F6K2Tb,"F,K,Tb",C2/c,15
4776,2200280,Zn10 P10 O40,O4PZn,"O,P,Zn",P-42_1c,114
4777,1535117,Sr2 Si12 N16,N8Si6Sr,"N,Si,Sr",Imm2,44
4778,1532221,K8 Te4,K2Te,"K,Te",Fm-3m,225
4779,7222876,Li4 Ca8 Si12,Ca2LiSi3,"Ca,Li,Si",Pnnm,58
4780,9015147,Zn8 As4 O20,AsO5Zn2,"As,O,Zn",Pnnm,58
4781,1546127,Sr20 Fe12 F76,F19Fe3Sr5,"F,Fe,Sr",I4/m,87
4782,9015201,Bi6.00003 Pb2.99997 Se12,Bi6.00003Pb2.99997Se12,"Bi,Pb,Se",R-3m,166
4783,1524348,Yb4 In4 Cu16,Cu4InYb,"Cu,In,Yb",Fd-3m,227
4784,9015475,Fe12 Si4,Fe3Si,"Fe,Si",Fm-3m,225
4785,1562719,Ba4 U8 S20,BaS5U2,"Ba,S,U",P2_1/c,14
4786,4002378,Mn4 Si4 N8,MnN2Si,"Mn,N,Si",Pna2_1,33
4787,7127451,Al12 P12 O67.44,Al12O67.44P12,"Al,O,P",P2_12_12,18
4788,1537160,Ba0.8 Nb5 O8,Ba0.8Nb5O8,"Ba,Nb,O",P4/m,83
4789,2310295,Ga0.6 Cu3.4,Cu3.4Ga0.6,"Cu,Ga",Fm-3m,225
4790,9011678,Ag4 Cl4,AgCl,"Ag,Cl",Cmcm,63
4791,1557261,Cr2 N24,CrN12,"Cr,N",P-1,2
4792,1542111,K1.4 V10 S16,K1.4S16V10,"K,S,V",C2/m,12
4793,1524237,Er1 In2.001 Sn0.999,ErIn2.001Sn0.999,"Er,In,Sn",Pm-3m,221
4794,1528775,In6 Se9,In2Se3,"In,Se",R3m,160
4795,1533327,La6 Ti3 Co48,Co16La2Ti,"Co,La,Ti",R-3m,166
4796,4031384,Tb2 O6,O3Tb,"O,Tb",P6_3/m,176
4797,1510517,Yb20 Au12,Au3Yb5,"Au,Yb",I4/mcm,140
4798,1536218,Cu27 S15,Cu9S5,"Cu,S",R-3m,166
4799,1527501,Zr0.0132 Ru1.9868,Ru1.9868Zr0.0132,"Ru,Zr",P6_3/mmc,194
4800,2106584,V11.88 Cr0.12 O18,Cr0.12O18V11.88,"Cr,O,V",R-3c,167
4801,1524816,Dy0.4 Pd3.6,Dy0.4Pd3.6,"Dy,Pd",Fm-3m,225
4802,9007691,Mn6 C6 O18,CMnO3,"C,Mn,O",R-3c,167
4803,1522146,Ce4 Te2 O4,Ce2O2Te,"Ce,O,Te",I4/mmm,139
4804,4002329,Na4 Mn6 O14,Mn3Na2O7,"Mn,Na,O",P-1,2
4805,4327451,Ce40 Ga20 Cl16,Ce10Cl4Ga5,"Ce,Cl,Ga",I4/mcm,140
4806,4030526,Ti4 As8 O28,As2O7Ti,"As,O,Ti",P2_1/c,14
4807,1521416,Na4 P4 F24,F6NaP,"F,Na,P",Fm-3m,225
4808,9015607,La0.67 Nb2 O6,La0.67Nb2O6,"La,Nb,O",Pmmm,47
4809,1510588,Rb6 Au14,Au7Rb3,"Au,Rb",Cmmm,65
4810,1010892,K2 S2 O8,KO4S,"K,O,S",P-1,2
4811,5910015,Zn32 Ag20,Ag5Zn8,"Ag,Zn",I-43m,217
4812,8101055,Na4 Au4 O8,AuNaO2,"Au,Na,O",Cmcm,63
4813,1545239,La4 S6 O40,La2O20S3,"La,O,S",Pc,7
4814,8103397,Mn4 Ag4 O16,AgMnO4,"Ag,Mn,O",P2_1/c,14
4815,1509648,Pr4 In4 Ag8,Ag2InPr,"Ag,In,Pr",Fm-3m,225
4816,1525341,Tb0.388 Ce3.612,Ce3.612Tb0.388,"Ce,Tb",Fm-3m,225
4817,1532423,Li0.58 Zr3.66 Si1.76,Li0.58Si1.76Zr3.66,"Li,Si,Zr",P2_1/m,11
4818,1524074,Y7.04 Fe16 Mo0.96,Fe16Mo0.96Y7.04,"Fe,Mo,Y",Fd-3m,227
4819,2310787,Zn24 P24 O84,O7P2Zn2,"O,P,Zn",C2/c,15
4820,1538319,V4 Mo2 O16,MoO8V2,"Mo,O,V",Cmm2,35
4821,2310989,Ag2 Te8 Au2,AgAuTe4,"Ag,Au,Te",P2/c,13
4822,9000392,Co8 Si4 O16,Co2O4Si,"Co,O,Si",Pnma,62
4823,8104397,Y4 P4 O16,O4PY,"O,P,Y",I4_1/amd,141
4824,1537370,Al4 Cd2 Te8,Al2CdTe4,"Al,Cd,Te",I-4,82
4825,1521337,La4 Mn4 O12,LaMnO3,"La,Mn,O",Pnma,62
4826,4003703,H136 Pt4 C80,C20H34Pt,"C,H,Pt",C2/c,15
4827,1531375,Ta2.668 Mn1.332 O8,Mn1.332O8Ta2.668,"Mn,O,Ta",P2/c,13
4828,8103852,Cs4 Tm2 Cl8,Cl4Cs2Tm,"Cl,Cs,Tm",I4/mmm,139
4829,1523066,V1 Rh3,Rh3V,"Rh,V",Pm-3m,221
4830,1510344,Fe1 Pd1.5 Au1.5,Au1.5FePd1.5,"Au,Fe,Pd",Pm-3m,221
4831,1539081,Cr1 W1 O3,CrO3W,"Cr,O,W",R32,155
4832,1510603,Yb4 Bi4 Au4,AuBiYb,"Au,Bi,Yb",F-43m,216
4833,7209333,Dy2 Ag2 Sn2,AgDySn,"Ag,Dy,Sn",P6_3mc,186
4834,2107053,Sr12 Fe8 O28,Fe2O7Sr3,"Fe,O,Sr",P4/mmm,123
4835,1531476,Nd32 O48,Nd2O3,"Nd,O",Ia-3,206
4836,7231659,U12 C26 O76,C13O38U6,"C,O,U",P-1,2
4837,1527372,Ti0.1 Al0.9 Ru1,Al0.9RuTi0.1,"Al,Ru,Ti",Pm-3m,221
4838,1538735,K8 S4,K2S,"K,S",Fm-3m,225
4839,9008327,K2 Mg2 Sb2,KMgSb,"K,Mg,Sb",P4/nmm,129
4840,1509415,In8 Ag4,AgIn2,"Ag,In",I4/mcm,140
4841,2107080,Ca8 I16 O96,CaI2O12,"Ca,I,O",Fdd2,43
4842,1536659,Eu4 Zn4 Ga4,EuGaZn,"Eu,Ga,Zn",Imma,74
4843,1525424,Fe2 Sb1.64,Fe2Sb1.64,"Fe,Sb",P6_3/mmc,194
4844,1524270,Ho1 Co4 Ni1,Co4HoNi,"Co,Ho,Ni",P6/mmm,191
4845,1527675,Mn4 Se12 O32,MnO8Se3,"Mn,O,Se",P2_1/c,14
4846,1524337,Ce4 Mg34,Ce2Mg17,"Ce,Mg",P6_3/mmc,194
4847,1538271,La2 U2 N4,LaN2U,"La,N,U",Fm-3m,225
4848,4069140,Ga8 H64 C40,C5GaH8,"C,Ga,H",P2_1/c,14
4849,1523656,Yb1 Pd3,Pd3Yb,"Pd,Yb",Pm-3m,221
4850,1537085,Cs6 Se44,Cs3Se22,"Cs,Se",I4/m,87
4851,1517677,Na1.56 Y2.44 F9.384,F9.384Na1.56Y2.44,"F,Na,Y",Fm-3m,225
4852,4031650,Ho4 Te4,HoTe,"Ho,Te",Fm-3m,225
4853,1531388,Ce20 Si10.58 Ni1.42,Ce20Ni1.42Si10.58,"Ce,Ni,Si",I4/mcm,140
4854,7222949,K12 Hg3 P6,HgK4P2,"Hg,K,P",R-3m,166
4855,9003494,Al19.68 Si76.32 O233.456,Al19.68O233.456Si76.32,"Al,O,Si",Imma,74
4856,9004531,Hg28 Cl8 O12,Cl2Hg7O3,"Cl,Hg,O",Pbcm,57
4857,1511374,Na47.024 B80 Se144,B80Na47.024Se144,"B,Na,Se",I4_1/acd,142
4858,1563684,U2 Se2 O2,OSeU,"O,Se,U",P4/nmm,129
4859,1559494,Mn92 C24,C6Mn23,"C,Mn",Fm-3m,225
4860,1535273,Nb12 B12 C4,B3CNb3,"B,C,Nb",Cmcm,63
4861,1510257,Nd8 P12 Au4,AuNd2P3,"Au,Nd,P",P2_1/c,14
4862,3000225,K4 Cl4 O12,ClKO3,"Cl,K,O",P2_1/m,11
4863,1525107,Er8 Fe4.8 Co11.2,Co11.2Er8Fe4.8,"Co,Er,Fe",Fd-3m,227
4864,4114761,Ba8 Te32 O72,BaO9Te4,"Ba,O,Te",C2/c,15
4865,1541394,U2 O2.6 F8,F8O2.6U2,"F,O,U",Pm-3m,221
4866,1539239,Ir2 Pt2,IrPt,"Ir,Pt",Fm-3m,225
4867,2107365,Bi60 S74.9952 Cl29.9916,Bi60Cl29.9916S74.9952,"Bi,Cl,S",R-3,148
4868,8104026,La49.23 Mn16.5 S90,La49.23Mn16.5S90,"La,Mn,S",R3m,160
4869,1510276,Pr8 Au4,AuPr2,"Au,Pr",Pnma,62
4870,1535379,Nb4 Tl8 S22,Nb2S11Tl4,"Nb,S,Tl",P-1,2
4871,1539085,Mn4 N4 Cl12,Cl3MnN,"Cl,Mn,N",Pnma,62
4872,4344373,Na16 Xe4 O48,Na4O12Xe,"Na,O,Xe",Pbca,61
4873,2107213,Na6 Mn6 Cl18,Cl3MnNa,"Cl,Mn,Na",R-3,148
4874,1535511,Zr24 Mn32 Si48,Mn4Si6Zr3,"Mn,Si,Zr",P4_2/mbc,135
4875,2310262,Lu2 Mn10,LuMn5,"Lu,Mn",P6_3mc,186
4876,9009499,Pb6 Cl9 O3,Cl3OPb2,"Cl,O,Pb",P-6,174
4877,4343856,Eu12 Os4 O28,Eu3O7Os,"Eu,O,Os",Cmcm,63
4878,1504400,Fe2 S2,FeS,"Fe,S",P6_3/mmc,194
4879,1536294,Cs41.008 Rb2.992 O12,Cs41.008O12Rb2.992,"Cs,O,Rb",P2_1/c,14
4880,1536822,La8 Cu4 O16,CuLa2O4,"Cu,La,O",Cmce,64
4881,1011267,Fe4 O6,Fe2O3,"Fe,O",R-3c,167
4882,1525386,U3 Cd33,Cd11U,"Cd,U",Pm-3m,221
4883,4120177,Ba12 Ga13.14 Au40.86,Au40.86Ba12Ga13.14,"Au,Ba,Ga",R-3c,167
4884,1011341,Cd2 C2 O6,CCdO3,"C,Cd,O",R-3m,166
4885,9015694,Mn2 O4,MnO2,"Mn,O",Cmmm,65
4886,1527936,Er12 N4 F40,Er3F10N,"Er,F,N",P6_3mc,186
4887,9008910,B2 Pt2,BPt,"B,Pt",P6_3/mmc,194
4888,1510373,Cd2 Au4 F16,Au2CdF8,"Au,Cd,F",P4/mcc,124
4889,8103589,Ba6 N12 O30,BaN2O5,"Ba,N,O",P6_1,169
4890,2021109,La6 Ti2 Bi10,Bi5La3Ti,"Bi,La,Ti",P6_3/mcm,193
4891,2310862,Na6 Hf2 F14,F7HfNa3,"F,Hf,Na",I4/mmm,139
4892,1011240,Fe4 O6,Fe2O3,"Fe,O",R-3m,166
4893,4030178,Nb4 Se8 Br8,Br2NbSe2,"Br,Nb,Se",C2/m,12
4894,8103481,Y4 B16,B4Y,"B,Y",P4/mbm,127
4895,9012850,Zr16 P64 O192,O12P4Zr,"O,P,Zr",C2/c,15
4896,1511321,Sn8 B2 Rh12,BRh6Sn4,"B,Rh,Sn",P6_3/mmc,194
4897,2203669,Ce3 In3 Pd3,CeInPd,"Ce,In,Pd",P-62m,189
4898,1511180,Hf18 B2 Mo8,BHf9Mo4,"B,Hf,Mo",P6_3/mmc,194
4899,1525225,K0.6 Ti6 S8,K0.6S8Ti6,"K,S,Ti",P6_3/m,176
4900,1000117,Li6 Cu4 O8,Cu2Li3O4,"Cu,Li,O",C2/m,12
4901,1534803,Ba6 W2 O12,Ba3O6W,"Ba,O,W",P1,1
4902,1528603,Ti8 P16 S48,P2S6Ti,"P,S,Ti",Fdd2,43
4903,1542130,D18.8 Nd8,H18.8Nd8,"H,Nd",I4_1md,109
4904,1537961,La1.84 Th2.16 N4,La1.84N4Th2.16,"La,N,Th",Fm-3m,225
4905,2107637,In2 Mo8 O12,InMo4O6,"In,Mo,O",P4/mbm,127
4906,9015707,Fe8 N4 F24,F6Fe2N,"F,Fe,N",Pnma,62
4907,1522569,Mn0.55 Zn1.45,Mn0.55Zn1.45,"Mn,Zn",I4/mmm,139
4908,1522939,Yb0.6 Pd3.4,Pd3.4Yb0.6,"Pd,Yb",Fm-3m,225
4909,1510385,Zn2 Cu2 Au4,Au2CuZn,"Au,Cu,Zn",Pbam,55
4910,1539490,Sc4 Sb4,SbSc,"Sb,Sc",Fm-3m,225
4911,1511483,Sm4 Mn4 B16,B4MnSm,"B,Mn,Sm",Pbam,55
4912,4124522,Zr2 S1 N2,N2SZr2,"N,S,Zr",P-3m1,164
4913,1540908,Na1 U2 Cl6,Cl6NaU2,"Cl,Na,U",P6_3/m,176
4914,1563287,K6 Mg36 Sn22,K3Mg18Sn11,"K,Mg,Sn",P6_3/m,176
4915,1527803,Ba2 Zn2 Si2,BaSiZn,"Ba,Si,Zn",P6_3/mmc,194
4916,7222193,Sm8 Se4.704 S7.296,S7.296Se4.704Sm8,"S,Se,Sm",Pnma,62
4917,1523299,Sn3.2 Te4 Pb0.8,Pb0.8Sn3.2Te4,"Pb,Sn,Te",Fm-3m,225
4918,2100752,Zr4 Al12,Al3Zr,"Al,Zr",I4/mmm,139
4919,2219706,Mg7.9998 Sb4.0002 O18,Mg7.9998O18Sb4.0002,"Mg,O,Sb",R-3,148
4920,9011135,Lu4 As4 O16,AsLuO4,"As,Lu,O",I4_1/amd,141
4921,1527432,Mn2 As1.9 P0.1,As1.9Mn2P0.1,"As,Mn,P",P6_3/mmc,194
4922,1534613,Ca6 Fe66 O99,Ca2Fe22O33,"Ca,Fe,O",R32,155
4923,4325338,Sm4 C12 O44,C3O11Sm,"C,O,Sm",P2_1/c,14
4924,1510823,Tm1 B2 Ru3,B2Ru3Tm,"B,Ru,Tm",P6/mmm,191
4925,1540894,Ce4 Ta12 O36,CeO9Ta3,"Ce,O,Ta",C2/m,12
4926,2209680,Mn5.76 Mo32 O44,Mn5.76Mo32O44,"Mn,Mo,O",P2_1/c,14
4927,4335639,Cs4 Pb4 I12,CsI3Pb,"Cs,I,Pb",Pnma,62
4928,1526631,Yb10 In4 Sb12,In2Sb6Yb5,"In,Sb,Yb",Pbam,55
4929,8102917,K32 Ge32,GeK,"Ge,K",P-43n,218
4930,1536549,Hg12 Cl8 O40,Cl2Hg3O10,"Cl,Hg,O",C2/c,15
4931,1510345,Pr2 Ga6.5 Au1.5,Au1.5Ga6.5Pr2,"Au,Ga,Pr",I4/mmm,139
4932,1512547,Ti2,Ti,Ti,P6_3/mmc,194
4933,1515995,Li16 Ti8 O24,Li2O3Ti,"Li,O,Ti",C2/c,15
4934,1509530,Tb9.996 Ag2.004 S16,Ag2.004S16Tb9.996,"Ag,S,Tb",I-43d,220
4935,4331666,Cs8 I16 O44,Cs2I4O11,"Cs,I,O",P2_1/c,14
4936,1534881,V4,V,V,Fm-3m,225
4937,7709746,Cs2 Cu2 S8,CsCuS4,"Cs,Cu,S",P-1,2
4938,1539713,Tl2 Cu14 S8,Cu7S4Tl,"Cu,S,Tl",I-4,82
4939,1525747,Ba20 Si12 F0.64,Ba20F0.64Si12,"Ba,F,Si",P4/ncc,130
4940,1524940,Cr0.3 Ga0.7 Ni3,Cr0.3Ga0.7Ni3,"Cr,Ga,Ni",Pm-3m,221
4941,2102017,Ce1.33334 Nb4 O12,Ce1.33334Nb4O12,"Ce,Nb,O",P2/m,10
4942,9008069,Cu2 Ag2 Se2,AgCuSe,"Ag,Cu,Se",Pmmn,59
4943,2106200,Na4 Mn2 Cl8,Cl4MnNa2,"Cl,Mn,Na",Pbam,55
4944,4307798,Zr3 Sn3.6 Sb2.4,Sb2.4Sn3.6Zr3,"Sb,Sn,Zr",P6_422,181
4945,1509553,Tb1 Ag1,AgTb,"Ag,Tb",Pm-3m,221
4946,4071718,Ni12 H116 C120,C30H29Ni3,"C,H,Ni",P2_1/c,14
4947,1534540,Ho4 Al4 O12,AlHoO3,"Al,Ho,O",Pnma,62
4948,4307206,Al6 H18,AlH3,"Al,H",Pnnm,58
4949,1509028,In0.6 Ag1.4,Ag1.4In0.6,"Ag,In",P6_3/mmc,194
4950,9000678,Bi6 Te6,BiTe,"Bi,Te",P-3m1,164
4951,2019430,Li7.976 Nd20 Sn28.024,Li7.976Nd20Sn28.024,"Li,Nd,Sn",P2_12_12_1,19
4952,4321398,Ga2 N10 O28,GaN5O14,"Ga,N,O",C2,5
4953,1008169,Ba16 Cr32 O112,BaCr2O7,"Ba,Cr,O",C2/c,15
4954,4002147,Ca8 Al4 Pt8,AlCa2Pt2,"Al,Ca,Pt",C2/c,15
4955,1532885,Er8 Fe4 Si8,Er2FeSi2,"Er,Fe,Si",C2/m,12
4956,1536134,K8 Ge2 O8,GeK4O4,"Ge,K,O",P-1,2
4957,7221225,K8 Cd4 Pb4,CdK2Pb,"Cd,K,Pb",Ama2,40
4958,1539620,Sm2.4 Th1.6,Sm2.4Th1.6,"Sm,Th",Fm-3m,225
4959,1523554,Pt3 Pb1,PbPt3,"Pb,Pt",Pm-3m,221
4960,4030529,Na3 Ho3 S6,HoNaS2,"Ho,Na,S",R-3m,166
4961,9008333,U2 Te2 N2,NTeU,"N,Te,U",P4/nmm,129
4962,4344327,Lu10.668 Se16,Lu10.668Se16,"Lu,Se",I-43d,220
4963,4326944,Rb4 Th8 F36,F9RbTh2,"F,Rb,Th",Pnma,62
4964,1526168,Ca3.52 Gd0.48 F8.4808,Ca3.52F8.4808Gd0.48,"Ca,F,Gd",Fm-3m,225
4965,7209314,Ag4 Au4 Cl16,AgAuCl4,"Ag,Au,Cl",C2/c,15
4966,7222881,Sr2 Cd4 Ge4,Cd2Ge2Sr,"Cd,Ge,Sr",I4/mmm,139
4967,1510070,Zn0.5 Cd0.5 Au1,AuCd0.5Zn0.5,"Au,Cd,Zn",Pm-3m,221
4968,2106471,Cs1 I1 Cl2,Cl2CsI,"Cl,Cs,I",R-3m,166
4969,1510087,Mn2 Hg1.5 Au0.5,Au0.5Hg1.5Mn2,"Au,Hg,Mn",Pmma,51
4970,9011694,Ag2 I2,AgI,"Ag,I",P6mm,183
4971,4073521,Ni1 C12,C12Ni,"C,Ni",R-3m,166
4972,9008160,Si20 Pt48,Pt12Si5,"Pt,Si",P4/n,85
4973,1527172,Pr8 W8 O36,O9Pr2W2,"O,Pr,W",P2_1/c,14
4974,4343609,La4 Al4 Ge4,AlGeLa,"Al,Ge,La",I4_1md,109
4975,4109797,Ta4 H124 C88,C22H31Ta,"C,H,Ta",P2_1/c,14
4976,1509639,Si12 Ag36 O42,Ag6O7Si2,"Ag,O,Si",C2/m,12
4977,1537530,U4 Ge4 Se4,GeSeU,"Ge,Se,U",I4/mmm,139
4978,9012842,Mn8 Zn4 O16,Mn2O4Zn,"Mn,O,Zn",I4_1/amd,141
4979,1527800,Ba4 Cd4 Pb4,BaCdPb,"Ba,Cd,Pb",Imma,74
4980,9011175,Ba2 I2 F2,BaFI,"Ba,F,I",P4/nmm,129
4981,9008129,As16 Pb16 S40,As2Pb2S5,"As,Pb,S",P2_1,4
4982,4316500,U4 Tl2 Se12,Se6TlU2,"Se,Tl,U",Immm,71
4983,1524066,Gd12 Co42,Co7Gd2,"Co,Gd",R-3m,166
4984,1542223,Y2 Cu2 Si2,CuSiY,"Cu,Si,Y",P6_3/mmc,194
4985,1522402,La2 Gd2 N4,GdLaN2,"Gd,La,N",Fm-3m,225
4986,1534450,La4.8 Ta22 O62,La4.8O62Ta22,"La,O,Ta",Cmmm,65
4987,1537970,Mn1 Ni1,MnNi,"Mn,Ni",Im-3m,229
4988,1526832,Eu2.4 Nb4 O13.6,Eu2.4Nb4O13.6,"Eu,Nb,O",C2/c,15
4989,1533903,Tm3 In1 N1,InNTm3,"In,N,Tm",Pm-3m,221
4990,1525285,Cr3 Ni3 F18,CrF6Ni,"Cr,F,Ni",R-3c,167
4991,1010237,Rb8 Pt4 Cl24,Cl6PtRb2,"Cl,Pt,Rb",Fm-3m,225
4992,2310976,Si4 Ni8,Ni2Si,"Ni,Si",Pnma,62
4993,1563519,Lu24 Mn8 Sn39.58,Lu24Mn8Sn39.58,"Lu,Mn,Sn",Pnma,62
4994,1511719,U2 Co8 B8,B4Co4U,"B,Co,U",P4_2/nmc,137
4995,1539027,Ho2 Ni4 P4,HoNi2P2,"Ho,Ni,P",I4/mmm,139
4996,1527568,Ba4 Cu16 S12,BaCu4S3,"Ba,Cu,S",Cmcm,63
4997,4327495,La36 W20 O114,La18O57W10,"La,O,W",P-62c,190
4998,4030925,K6 Cu16 Se12,Cu8K3Se6,"Cu,K,Se",C2/m,12
4999,1510816,Sc6 B4 Rh10,B2Rh5Sc3,"B,Rh,Sc",P4/mbm,127
