class_index,cod_id,formula,reduced_formula,elements,space_group,space_group_number
13362,1509684,Ag2 O1,Ag2O,"Ag,O",P-3m1,164
13363,1527690,Sc2 Zn24,ScZn12,"Sc,Zn",I4/mmm,139
13364,9008354,Ca8 Bi4,BiCa2,"Bi,Ca",I4/mmm,139
13365,4000815,Al2.344 In18.992 S32,Al2.344In18.992S32,"Al,In,S",Fd-3m,227
13366,1533708,Na4 Gd4 O8,GdNaO2,"Gd,Na,O",I4_1/amd,141
13367,1536059,Co19.5 O48,Co19.5O48,"Co,O",R3m,160
13368,1511749,Na8 B32 Ir24,B4Ir3Na,"B,Ir,Na",Cmme,67
13369,9016233,Mg48 Si34 O147,Mg48O147Si34,"Mg,O,Si",P1,1
13370,4305047,Sm8 Se6 O8,O4Se3Sm4,"O,Se,Sm",Amm2,38
13371,1561800,Nd2 Bi4 Au2,AuBi2Nd,"Au,Bi,Nd",P4/nmm,129
13372,1530284,Ba4 Mo24 O40,BaMo6O10,"Ba,Mo,O",Pnma,62
13373,1510165,Li8 Ge4 Au4,AuGeLi2,"Au,Ge,Li",F-43m,216
13374,1540901,Ce2 Al6 Pt2,Al3CePt,"Al,Ce,Pt",I4/mmm,139
13375,1528325,Ho2 C4,C2Ho,"C,Ho",I4/mmm,139
13376,1540198,D3.08 Zr4 N2,H3.08N2Zr4,"H,N,Zr",P6_3/mmc,194
13377,1508979,Gd1 Zn0.5 Ag0.5,Ag0.5GdZn0.5,"Ag,Gd,Zn",Pm-3m,221
13378,2310646,Na12 P12 O40,Na3O10P3,"Na,O,P",Pnma,62
13379,9008751,Tm4 N4,NTm,"N,Tm",Fm-3m,225
13380,1537756,U4 Pd4 Se12,PdSe3U,"Pd,Se,U",Pnma,62
13381,4030609,Cd8 O2 F12,Cd4F6O,"Cd,F,O",P4_2/nmc,137
13382,1541454,Rb8 Cr4 F24,CrF6Rb2,"Cr,F,Rb",Fm-3m,225
13383,7121800,Sm12 Bi28,Bi7Sm3,"Bi,Sm",Immm,71
13384,2106219,Li12 Te36,LiTe3,"Li,Te",P-3c1,165
13385,9012572,Ni2 As4,As2Ni,"As,Ni",Pnnm,58
13386,7027970,Re2 C24 O10,C12O5Re,"C,O,Re",P4_2nm,102
13387,1524992,Ba2 Mn2 O6,BaMnO3,"Ba,Mn,O",P6_3/mmc,194
13388,1008664,Sm4 Cr4 O16,CrO4Sm,"Cr,O,Sm",I4_1/amd,141
13389,2300378,Mg1 Ag3,Ag3Mg,"Ag,Mg",Fm-3m,225
13390,2002888,Ca12 Al24 O48,Al2CaO4,"Al,Ca,O",P2_1/c,14
13391,1525556,Al10.6 Si6.4 O36,Al10.6O36Si6.4,"Al,O,Si",C2,5
13392,7100941,K40 Tl24 O8,K5OTl3,"K,O,Tl",Cmcm,63
13393,7222978,Rb8 Fe4 F20,F5FeRb2,"F,Fe,Rb",Pnma,62
13394,1539361,Th2 Ge4 Ru4,Ge2Ru2Th,"Ge,Ru,Th",I4/mmm,139
13395,4076815,Ga24 H264 C128,C16Ga3H33,"C,Ga,H",P4_3,78
13396,1535186,La4 I12 O38,I6La2O19,"I,La,O",Pc,7
13397,1010901,Sr1 Zr1 O3,O3SrZr,"O,Sr,Zr",Pm-3m,221
13398,1011239,Cu4 I4,CuI,"Cu,I",F-43m,216
13399,2012819,Tl9 S6 O23.9999994,O24S6Tl9,"O,S,Tl",R-3m,166
13400,2204287,Sn8 H224 C224,C28H28Sn,"C,H,Sn",Aea2,41
13401,4030488,Fe28 P32 O112,Fe7O28P8,"Fe,O,P",C222_1,20
13402,2002499,Mn8 Pb16 O32,MnO4Pb2,"Mn,O,Pb",P-42_1c,114
13403,1521633,Ho6 Cu16.74 P13.5,Cu16.74Ho6P13.5,"Cu,Ho,P",R-3m,166
13404,1522469,Hf44 Ga40,Ga10Hf11,"Ga,Hf",I4/mmm,139
13405,9011060,Cu4 As4 S4,AsCuS,"As,Cu,S",Pna2_1,33
13406,1534865,Ba2 Zr1 O5.55,Ba2O5.55Zr,"Ba,O,Zr",P4/mmm,123
13407,1519030,K48 Ta24 Se140,K12Se35Ta6,"K,Se,Ta",Pbcn,60
13408,2020133,Ca3 S3 O14.4,Ca3O14.4S3,"Ca,O,S",P3_121,152
13409,9015123,Sb24 Ir8,IrSb3,"Ir,Sb",Im-3,204
13410,9008673,Mg4 Se4,MgSe,"Mg,Se",Fm-3m,225
13411,7019078,Zr4 H144 C96,C24H36Zr,"C,H,Zr",P2_1/c,14
13412,2106841,Sn4 N4 F12,F3NSn,"F,N,Sn",C2,5
13413,2300039,Ni16 P16 O56,Ni2O7P2,"Ni,O,P",P2_1/c,14
13414,7032574,Zr4 H88 C80,C20H22Zr,"C,H,Zr",P2_1/c,14
13415,1523836,V6 Pb2,PbV3,"Pb,V",Pm-3n,223
13416,1524933,La6 Sn26 Rh8,La3Rh4Sn13,"La,Rh,Sn",Pm-3n,223
13417,1522470,Sc44 Ga36,Ga9Sc11,"Ga,Sc",I4/mmm,139
13418,1542096,V2 O1.064,O1.064V2,"O,V",I4/mmm,139
13419,4124002,Ba10 Ir10 O29.384,Ba10Ir10O29.384,"Ba,Ir,O",C2/m,12
